YEAR,AGE,DISTANCE_BUS,DISTANCE_INTERSTATE,PRICE,ROOMS,AREA,LAND,BATHS
1978,1,30000.0,30000.0,75900.0,7,1836,45738.0,2
1981,7,22000.0,22000.0,140000.0,6,1800,44867.0,3
1981,31,3000.0,2000.0,68000.0,6,3304,18731.0,2
81,2,15000.0,17000.0,,7,2744,77101.0,3
1981,0,10000.0,13000.0,216000.0,7,2548,46174.0,3
81,0,25000.0,25000.0,125000.0,7,2208,45738.0,3
78,0,17000.0,17000.0,95920.0,7,2464,48269.0,3
1978,8,21000.0,21000.0,85000.0,8,2004,44080.0,2
1981,20,7000.0,7000.0,86000.0,6,1425,19550.0,1
1981,0,22000.0,24000.0,119600.0,7,2701,48787.0,3
1981,19,5000.0,4000.0,73900.0,6,1592,13068.0,1
1978,28,3000.0,7000.0,53000.0,5,1592,12700.0,2
1978,68,3000.0,6000.0,49000.0,6,1875,9790.0,2
1978,0,14000.0,13000.0,84211.0,7,2756,27205.0,3
81,0,23000.0,25000.0,153000.0,7,2656,43996.0,3
1978,21,4000.0,8000.0,,5,1078,21800.0,2
1978,11,15000.0,15000.0,65000.0,7,2727,44867.0,3
1981,17,21000.0,23000.0,110000.0,6,2204,45302.0,2
81,31,4000.0,4000.0,91000.0,7,2263,10019.0,2
1981,0,11000.0,10000.0,143500.0,6,2144,12806.0,3
1978,4,27000.0,28000.0,73000.0,7,1390,46100.0,2
1981,0,25000.0,26000.0,135900.0,7,2377,43560.0,3
81,1,22000.0,24000.0,194000.0,9,3170,45302.0,3
78,10,14000.0,16000.0,100000.0,7,2252,44000.0,3
1981,41,3000.0,2000.0,54000.0,6,1700,7500.0,1
1978,9,11000.0,13000.0,120000.0,6,3030,47916.0,3
1981,0,24000.0,25000.0,130500.0,6,2330,43995.0,2
1978,12,4000.0,6000.0,61000.0,7,1800,13030.0,2
1978,2,13000.0,13000.0,,7,2030,25120.0,3
1981,0,23000.0,23000.0,,7,2900,43560.0,3
1978,21,4000.0,4000.0,71500.0,5,2106,13370.0,2
1981,0,11000.0,10000.0,,7,2302,13504.0,3
1981,15,6000.0,6000.0,,6,1133,5000.0,1
1981,26,13000.0,14000.0,,6,1526,28314.0,1
1978,0,30000.0,31000.0,75900.0,7,1928,157252.0,3
1981,25,4000.0,5000.0,65000.0,5,912,12005.0,1
1978,56,2000.0,6000.0,40000.0,5,1867,5000.0,1
1981,80,4000.0,1000.0,49000.0,6,1554,6790.0,1
81,0,12000.0,12000.0,189857.0,7,3396,31412.0,4
1978,25,7000.0,7000.0,32000.0,6,2112,12500.0,2
1978,8,16000.0,19000.0,120000.0,7,2171,44064.0,3
1981,2,25000.0,26000.0,113500.0,7,2000,43569.0,3
1978,3,31000.0,32000.0,86000.0,6,1855,50965.0,2
1981,26,21000.0,21000.0,109900.0,7,2632,64904.0,2
78,3,12000.0,12000.0,85500.0,7,2544,26726.0,3
81,0,23000.0,25000.0,148000.0,7,2736,43560.0,3
78,0,24000.0,26000.0,,7,2286,43996.0,3
1978,70,2000.0,3000.0,59000.0,5,2458,9400.0,2
1981,0,23000.0,25000.0,153000.0,7,2656,43996.0,3
1978,58,4000.0,1000.0,34000.0,6,1144,5000.0,1
81,26,9000.0,7000.0,66479.0,5,1104,15512.0,1
1978,21,3000.0,5000.0,48000.0,5,1038,15431.0,1
1978,3,3000.0,6000.0,46000.0,7,1261,10000.0,2
78,12,16000.0,19000.0,75000.0,6,1537,48352.0,2
1978,78,3000.0,2000.0,46000.0,6,1780,9500.0,3
1978,15,26000.0,26000.0,44900.0,5,960,51690.0,1
1978,1,18000.0,21000.0,77500.0,7,1998,147668.0,3
1978,0,16000.0,16000.0,96900.0,7,2464,41463.0,3
1981,0,31000.0,31000.0,125000.0,7,2548,43560.0,3
1978,2,23000.0,24000.0,86000.0,7,2952,43996.0,3
1978,3,24000.0,25000.0,83000.0,9,2574,43996.0,3
1981,7,23000.0,23000.0,83000.0,6,1182,44247.0,1
1978,13,4000.0,6000.0,54000.0,6,1570,8790.0,2
1981,0,23000.0,24000.0,145000.0,7,2569,43560.0,3
1981,6,27000.0,28000.0,,7,2706,43996.0,3
1978,2,19000.0,21000.0,79900.0,7,1540,46174.0,3
1981,0,6000.0,5000.0,103900.0,7,1910,20909.0,2
81,15,31000.0,32000.0,85000.0,6,1978,44867.0,2
1981,0,23000.0,23000.0,169000.0,7,3292,43560.0,3
1981,12,11000.0,13000.0,,7,3334,43560.0,3
1978,12,31000.0,32000.0,62500.0,6,1978,44867.0,2
81,1,12000.0,13000.0,107900.0,7,1836,35121.0,2
1978,56,4000.0,7000.0,48000.0,7,3460,11421.0,2
1978,0,24000.0,26000.0,,8,2738,43995.0,2
1981,39,10000.0,10000.0,75000.0,6,1456,18215.0,1
78,80,2000.0,4000.0,47000.0,8,2576,12568.0,2
1978,23,21000.0,21000.0,89912.0,7,2632,64904.0,2
81,0,23000.0,25000.0,142000.0,8,3726,43935.0,3
81,1,12000.0,13000.0,103900.0,7,1836,35284.0,3
1978,38,10000.0,14000.0,83000.0,6,3861,51062.0,2
1978,58,2000.0,3000.0,80000.0,7,1838,9249.0,2
1981,21,8000.0,12000.0,68000.0,6,1684,81273.0,2
1978,38,4000.0,7000.0,56900.0,6,2032,10993.0,2
1981,19,25000.0,26000.0,75900.0,6,1344,78408.0,2
78,0,30000.0,30000.0,75000.0,7,1728,47916.0,2
1978,0,14000.0,13000.0,,7,2352,31331.0,3
1978,0,30000.0,30000.0,75500.0,7,1820,46174.0,3
78,0,29000.0,28000.0,90000.0,7,2052,43560.0,3
78,0,14000.0,14000.0,121000.0,7,2510,31915.0,3
1978,25,10000.0,10000.0,53500.0,7,1333,11883.0,1
1978,0,22000.0,24000.0,94900.0,7,2384,43560.0,3
1981,2,22000.0,23000.0,90000.0,7,3152,51835.0,2
1981,0,23000.0,25000.0,160000.0,7,2738,43560.0,3
1978,54,4000.0,7000.0,,8,915,14000.0,1
78,1,28000.0,29000.0,,6,1248,45000.0,2
1978,0,30000.0,30000.0,73900.0,6,2092,47045.0,3
1981,1,6000.0,5000.0,96750.0,7,1242,23087.0,2
1978,8,24000.0,26000.0,64000.0,6,1764,86249.0,2
78,3,6000.0,5000.0,70400.0,5,1342,8500.0,2
1978,1,19000.0,21000.0,79000.0,7,1998,43561.0,3
1981,0,16000.0,18000.0,,7,2470,64745.0,3
1978,4,24000.0,23000.0,77000.0,7,1792,45106.0,3
1981,0,10000.0,14000.0,100000.0,7,5136,47916.0,3
1978,38,6000.0,4000.0,,5,1482,8017.0,1
1978,13,26000.0,26000.0,65000.0,7,1360,43910.0,2
1978,0,24000.0,26000.0,84900.0,7,2082,43958.0,3
78,6,22000.0,23000.0,,7,2284,44001.0,3
1978,80,9000.0,9000.0,36000.0,6,2071,9665.0,2
1978,22,4000.0,8000.0,62000.0,6,1318,20550.0,2
1981,13,18000.0,19000.0,120000.0,6,2528,44431.0,3
1978,80,4000.0,1000.0,40000.0,6,2612,8370.0,2
1981,6,12000.0,12000.0,150000.0,6,3132,26136.0,3
78,48,2000.0,6000.0,43500.0,6,1490,5000.0,1
1978,8,14000.0,16000.0,131500.0,9,2598,44000.0,3
1978,9,27000.0,28000.0,84900.0,7,1716,45500.0,2
81,51,22000.0,23000.0,52900.0,6,1199,54450.0,1
1981,7,20000.0,19000.0,115000.0,6,1848,46300.0,2
1978,2,30000.0,30000.0,80000.0,7,2450,44867.0,3
1978,0,17000.0,17000.0,95900.0,7,2464,50808.0,3
1981,4,26000.0,26000.0,128000.0,7,2464,43560.0,3
1978,13,21000.0,21000.0,87000.0,7,1920,44260.0,2
1978,80,10000.0,9000.0,66900.0,10,1750,12516.0,2
1981,0,23000.0,23000.0,,7,2464,47480.0,3
1978,0,30000.0,31000.0,,7,2067,204296.0,3
1978,1,30000.0,30000.0,76900.0,6,1836,46174.0,3
1981,0,6000.0,8000.0,130000.0,7,2644,35284.0,2
1981,18,18000.0,18000.0,85000.0,6,1080,52272.0,2
1981,2,31000.0,31000.0,141000.0,7,2920,43560.0,3
1978,80,6000.0,7000.0,32000.0,6,1464,29129.0,2
1978,80,14000.0,14000.0,37500.0,7,2346,43560.0,2
78,5,20000.0,20000.0,97000.0,7,2136,44000.0,3
1981,31,4000.0,4000.0,,7,2263,10019.0,2
1978,80,10000.0,11000.0,98000.0,9,3792,35942.0,4
1981,0,10000.0,13000.0,124500.0,6,3398,63260.0,4
81,0,11000.0,10000.0,,6,2144,12806.0,3
1981,7,23000.0,23000.0,129900.0,7,2056,65340.0,3
81,0,11000.0,14000.0,,7,2464,46174.0,3
1978,1,19000.0,21000.0,79000.0,7,1998,43561.0,3
1978,0,14000.0,13000.0,,7,2012,30800.0,3
81,2,23000.0,24000.0,,6,1232,49384.0,2
78,80,22000.0,23000.0,123000.0,9,2872,104544.0,3
1978,1,22000.0,24000.0,,7,2240,43560.0,2
78,0,26000.0,26000.0,,7,1940,43996.0,3
1978,11,4000.0,1000.0,63900.0,5,1136,10000.0,1
1981,0,12000.0,10000.0,118000.0,7,1991,12632.0,3
1981,0,24000.0,24000.0,167950.0,6,2472,52708.0,3
1981,0,11000.0,11000.0,135000.0,7,2252,34879.0,3
1978,18,9000.0,8000.0,49000.0,6,1476,15664.0,1
1981,7,20000.0,20000.0,117500.0,8,2016,44900.0,3
1978,0,19000.0,21000.0,61900.0,9,1411,44431.0,3
1978,1,14000.0,16000.0,125000.0,9,2794,43995.0,3
81,1,9000.0,9000.0,117500.0,9,1910,15246.0,3
1981,0,13000.0,13000.0,204080.0,7,2261,45465.0,3
1978,1,14000.0,14000.0,120000.0,7,2502,34666.0,3
1981,0,22000.0,24000.0,,8,3284,43996.0,3
1981,13,3000.0,5000.0,106000.0,6,1633,17728.0,2
81,0,32000.0,32000.0,135000.0,7,2464,46609.0,3
1981,0,12000.0,11000.0,160000.0,7,2836,37046.0,3
1981,0,6000.0,5000.0,97900.0,7,1226,13068.0,2
1981,2,10000.0,11000.0,,7,2464,31215.0,3
1978,0,14000.0,14000.0,117000.0,7,3030,32255.0,3
1978,8,14000.0,16000.0,131500.0,9,2598,44000.0,3
1981,19,5000.0,4000.0,,6,1592,13068.0,1
78,11,29000.0,28000.0,46500.0,6,1296,94961.0,2
1981,26,21000.0,21000.0,109900.0,7,2632,64904.0,2
1981,0,11000.0,11000.0,162000.0,7,3232,25380.0,3
1978,0,23000.0,24000.0,94376.0,7,2800,69260.0,3
1978,9,31000.0,31000.0,63400.0,6,1144,44431.0,1
1978,5,23000.0,23000.0,,7,2136,117176.0,3
1978,24,4000.0,5000.0,,4,1000,8000.0,1
1978,30,21000.0,22000.0,63000.0,6,1357,45302.0,1
78,2,24000.0,24000.0,90500.0,7,2208,54014.0,3
1981,7,4000.0,7000.0,74000.0,5,1587,5957.0,2
1978,0,20000.0,20000.0,106500.0,7,2878,43560.0,3
1978,14,24000.0,25000.0,63000.0,6,1235,95832.0,2
1978,0,14000.0,13000.0,,7,2492,27248.0,3
1978,1,22000.0,24000.0,89500.0,7,2240,43560.0,2
1978,18,14000.0,17000.0,,5,1166,45000.0,1
1978,13,12000.0,12000.0,82000.0,6,1964,25182.0,2
78,10,14000.0,13000.0,72900.0,7,2080,25000.0,2
1981,1,12000.0,10000.0,,7,2700,13504.0,3
1978,1,14000.0,16000.0,,7,2781,43560.0,3
81,0,7000.0,9000.0,132000.0,7,2574,43757.0,3
78,1,14000.0,16000.0,90400.0,7,2796,43560.0,3
1978,4,28000.0,28000.0,120000.0,6,2650,43996.0,3
1981,0,11000.0,10000.0,119900.0,7,2258,12500.0,3
1978,14,4000.0,7000.0,56900.0,6,1421,21120.0,2
1981,11,13000.0,16000.0,118000.0,7,1731,14810.0,2
81,6,27000.0,26000.0,133500.0,7,2648,46609.0,3
1978,0,24000.0,25000.0,78400.0,6,1862,45302.0,2
81,31,4000.0,4000.0,72500.0,6,1482,12632.0,1
1981,16,33000.0,33000.0,,6,1549,44431.0,1
1981,25,10000.0,10000.0,60000.0,6,1388,7500.0,1
1978,0,12000.0,12000.0,,7,2206,50094.0,3
78,1,16000.0,17000.0,91000.0,7,2240,53000.0,3
1981,0,12000.0,11000.0,175000.0,7,3055,25265.0,3
1978,2,13000.0,13000.0,95000.0,7,2238,25690.0,3
1981,6,24000.0,24000.0,160000.0,7,4056,69465.0,3
1978,80,9000.0,9000.0,36000.0,6,2071,9665.0,2
1981,0,21000.0,21000.0,175000.0,7,2738,59790.0,3
1978,0,24000.0,26000.0,109500.0,7,2780,43995.0,3
1981,2,15000.0,17000.0,180000.0,7,2744,77101.0,3
81,2,10000.0,11000.0,156500.0,7,2464,31215.0,3
1978,13,29000.0,28000.0,,6,1668,43560.0,2
1978,0,14000.0,13000.0,107900.0,7,2464,30945.0,3
1978,11,19000.0,18000.0,,7,1868,56900.0,3
1978,1,28000.0,29000.0,70500.0,6,1232,45000.0,2
81,19,14000.0,15000.0,95000.0,5,1148,44182.0,2
1978,2,24000.0,24000.0,90500.0,7,2208,54014.0,3
1981,26,10000.0,10000.0,175000.0,6,1842,29130.0,2
78,0,24000.0,24000.0,84900.0,7,1560,44864.0,3
1978,5,26000.0,26000.0,,7,2816,43560.0,3
1981,0,12000.0,12000.0,,7,2464,37026.0,3
1978,26,3000.0,4000.0,,4,750,8000.0,1
78,42,3000.0,2000.0,60500.0,8,1642,7000.0,2
81,24,4000.0,5000.0,,7,3208,17424.0,3
1981,3,28000.0,28000.0,,7,2756,43573.0,3
1978,0,16000.0,17000.0,94000.0,7,2290,25250.0,3
1978,18,3000.0,4000.0,68500.0,6,1377,12877.0,2
78,80,21000.0,23000.0,87500.0,7,3256,44867.0,2
81,80,12000.0,12000.0,120000.0,9,3798,50045.0,2
1978,78,10000.0,10000.0,34000.0,5,990,1710.0,1
1981,2,22000.0,23000.0,102000.0,7,3152,51835.0,2
1981,29,16000.0,19000.0,,6,1564,48787.0,1
1981,36,4000.0,4000.0,67000.0,4,970,11104.0,1
78,0,20000.0,20000.0,93000.0,6,2514,43996.0,3
1981,0,20000.0,20000.0,155500.0,7,2610,44431.0,3
78,0,23000.0,24000.0,,7,2108,52272.0,3
1978,2,24000.0,24000.0,,7,2248,49222.0,3
1981,2,13000.0,13000.0,155000.0,7,2688,28688.0,2
81,41,3000.0,4000.0,66500.0,5,1166,9770.0,1
1978,1,33000.0,33000.0,49500.0,6,1100,38768.0,1
1981,0,16000.0,18000.0,140000.0,6,2248,49829.0,3
1978,12,7000.0,6000.0,60500.0,6,1399,10000.0,2
1978,56,2000.0,3000.0,50000.0,6,1536,10491.0,2
1978,1,3000.0,6000.0,44000.0,6,1869,12500.0,2
1978,0,25000.0,26000.0,94000.0,7,2036,51836.0,3
1981,8,25000.0,25000.0,120000.0,7,2364,43996.0,3
78,0,20000.0,22000.0,62400.0,7,1296,46609.0,2
78,0,30000.0,31000.0,74500.0,7,1818,55321.0,2
1978,0,33000.0,34000.0,83900.0,7,2036,46174.0,3
1981,5,30000.0,29000.0,105000.0,7,1998,67954.0,3
78,0,24000.0,26000.0,85900.0,6,1862,56392.0,2
1978,0,24000.0,26000.0,85900.0,7,1962,44465.0,3
81,0,22000.0,24000.0,68000.0,7,2400,45738.0,3
1978,23,6000.0,7000.0,63000.0,6,2089,16935.0,1
1978,3,12000.0,12000.0,85500.0,7,2544,26726.0,3
1981,1,11000.0,14000.0,155000.0,9,2996,45738.0,3
1978,48,3000.0,1000.0,60000.0,7,1660,4578.0,1
1978,28,4000.0,5000.0,,6,1972,20089.0,2
1978,21,17000.0,18000.0,37500.0,4,2276,43560.0,1
81,1,4000.0,7000.0,76900.0,5,1531,3049.0,2
78,80,14000.0,17000.0,185000.0,9,5078,132422.0,4
1978,0,25000.0,26000.0,84900.0,7,1924,44431.0,3
1981,26,9000.0,7000.0,66479.0,5,1104,15512.0,1
1981,3,14000.0,15000.0,98000.0,6,1197,50965.0,2
1981,6,12000.0,12000.0,101100.0,7,2856,29955.0,2
1981,20,15000.0,15000.0,97000.0,6,1296,44867.0,2
1981,0,11000.0,11000.0,135000.0,7,2252,34879.0,3
81,0,12000.0,10000.0,100000.0,7,1746,13504.0,3
1981,2,32000.0,33000.0,130000.0,7,2528,45738.0,3
1978,5,20000.0,20000.0,97000.0,7,2136,44000.0,3
81,41,3000.0,7000.0,41000.0,6,936,8276.0,1
1978,0,24000.0,26000.0,84900.0,7,2082,43958.0,3
1978,0,25000.0,26000.0,80900.0,7,2370,43560.0,3
78,0,24000.0,26000.0,92900.0,7,2036,49737.0,3
1978,78,3000.0,2000.0,38500.0,6,1556,3870.0,2
81,80,3000.0,6000.0,88000.0,6,2327,35538.0,1
1981,80,7000.0,3000.0,,7,1674,54886.0,1
1981,59,2000.0,6000.0,66500.0,5,1867,5000.0,1
1981,0,23000.0,23000.0,172267.0,7,2826,46598.0,3
1981,0,12000.0,11000.0,168000.0,7,2486,30808.0,3
1981,0,24000.0,26000.0,144500.0,7,3140,48787.0,3
78,0,14000.0,14000.0,120000.0,7,2464,31059.0,3
1981,80,1000.0,3000.0,70000.0,6,1830,13939.0,1
1981,17,21000.0,23000.0,,6,2204,45302.0,2
1978,0,20000.0,20000.0,,7,2432,43663.0,3
1978,1,33000.0,34000.0,,7,1986,50094.0,3
1981,31,4000.0,2000.0,70000.0,6,1454,5500.0,2
78,12,8000.0,8000.0,90000.0,7,2352,26890.0,3
78,22,4000.0,2000.0,56000.0,6,1700,10878.0,2
1981,71,3000.0,2000.0,52000.0,5,1575,3485.0,1
1981,31,4000.0,2000.0,70000.0,6,1454,5500.0,2
1978,0,11000.0,12000.0,300000.0,7,3770,282704.0,3
1978,58,6000.0,6000.0,50900.0,5,930,8185.0,1
1981,1,12000.0,10000.0,125000.0,7,2016,12632.0,3
1978,7,18000.0,18000.0,59000.0,6,2128,44174.0,2
1978,15,18000.0,18000.0,59000.0,6,1215,44867.0,1
78,0,19000.0,21000.0,61900.0,9,1411,44431.0,3
1981,0,10000.0,13000.0,,6,1988,65212.0,3
1981,65,10000.0,10000.0,80000.0,5,2384,10000.0,2
1978,28,5000.0,7000.0,31000.0,5,925,4585.0,1
1978,33,5000.0,5000.0,,6,1410,10370.0,2
1981,41,10000.0,10000.0,,5,735,10454.0,1
78,48,4000.0,2000.0,44000.0,5,1868,10000.0,1
1978,32,9000.0,7000.0,52000.0,6,1274,7858.0,1
1981,0,10000.0,13000.0,,6,3398,63260.0,4
1978,48,2000.0,6000.0,,6,1490,5000.0,1
81,3,5000.0,6000.0,70000.0,6,1728,10938.0,2
1981,0,12000.0,11000.0,,7,3074,25265.0,3
1981,6,12000.0,12000.0,150000.0,6,3132,26136.0,3
1978,80,10000.0,11000.0,98000.0,9,3792,35942.0,4
1981,11,27000.0,28000.0,,7,1286,44200.0,2
1981,29,17000.0,19000.0,82000.0,6,1566,43996.0,1
1981,0,31000.0,31000.0,143000.0,7,2576,49223.0,3
1978,0,25000.0,26000.0,80900.0,7,2370,43560.0,3
1981,0,12000.0,11000.0,182095.0,7,3074,25159.0,3
81,80,11000.0,11000.0,65000.0,6,1760,32670.0,2
78,5,27000.0,27000.0,66100.0,7,1388,46600.0,2
1981,0,24000.0,24000.0,177755.0,7,2738,45973.0,3
81,0,23000.0,23000.0,156900.0,7,2464,43908.0,3
1978,0,17000.0,17000.0,,7,2240,44916.0,3
81,0,12000.0,11000.0,220000.0,7,3040,29621.0,3
1978,78,1000.0,4000.0,,6,1439,4990.0,1
1978,18,5000.0,4000.0,50900.0,6,1290,12538.0,2
78,0,14000.0,13000.0,97000.0,7,2252,30894.0,3
1978,0,30000.0,31000.0,73000.0,7,2038,49223.0,2
1978,3,14000.0,15000.0,83500.0,6,1924,42688.0,2
78,8,24000.0,26000.0,66000.0,6,1844,92783.0,2
1978,1,3000.0,6000.0,44000.0,6,1869,12500.0,2
1978,5,17000.0,19000.0,67500.0,5,1358,44775.0,2
1981,0,24000.0,24000.0,,7,2580,53579.0,3
1981,0,23000.0,23000.0,173500.0,7,2900,43560.0,3
1978,0,30000.0,31000.0,84300.0,7,2104,68689.0,3
1978,41,3000.0,2000.0,55000.0,5,1443,7950.0,2
1981,36,6000.0,6000.0,79500.0,5,2216,10000.0,2
81,0,12000.0,12000.0,234552.0,7,3252,29671.0,3
1978,23,21000.0,21000.0,88000.0,7,2632,64904.0,2
1978,14,19000.0,19000.0,,6,1936,43996.0,2
1978,28,35000.0,34000.0,57000.0,5,1320,64033.0,1
1978,11,29000.0,28000.0,,6,1296,94961.0,2
1978,6,27000.0,27000.0,,7,1070,48834.0,1
1978,0,25000.0,26000.0,,7,2240,43995.0,3
1981,80,3000.0,2000.0,47000.0,6,1410,4500.0,1
1978,12,8000.0,8000.0,,7,2352,26890.0,3
81,8,10000.0,10000.0,140000.0,8,2400,29226.0,3
1978,3,24000.0,24000.0,72500.0,7,2472,46422.0,3
1978,1,33000.0,34000.0,76900.0,7,2400,43560.0,3
1978,0,24000.0,26000.0,92900.0,7,2036,49737.0,3
1978,4,20000.0,20000.0,82000.0,8,2016,44900.0,3
1978,0,21000.0,23000.0,89500.0,7,2436,43560.0,3
1978,48,6000.0,7000.0,,6,1500,5153.0,2
1981,1,16000.0,15000.0,,6,1154,43560.0,2
78,1,30000.0,30000.0,76900.0,6,1836,46174.0,3
1978,0,30000.0,30000.0,75000.0,7,1728,47916.0,2
1981,0,23000.0,23000.0,169900.0,7,2832,43560.0,3
1981,2,20000.0,20000.0,158000.0,7,2627,43560.0,3
1981,0,25000.0,26000.0,135900.0,7,2377,43560.0,3
1981,51,2000.0,5000.0,50000.0,5,1140,13945.0,1
81,1,22000.0,24000.0,162000.0,7,2656,45302.0,3
78,3,12000.0,12000.0,64900.0,7,2856,29955.0,2
1978,26,20000.0,22000.0,58000.0,6,1356,544500.0,2
1978,0,24000.0,25000.0,,7,2464,43560.0,3
